Audi-a3,Audi-a5,Audi-q5,BMW-1-series,BMW-4-series,BMW-x3,Honda-pilot,Jeep-wrangler,MINI-clubman,MINI-countryman,Mazda-mazda5,Mercedes-Benz-gla,Mercedes-Benz-glk,Mitsubishi-outlander,Nissan-370z,Nissan-quest,Nissan-rogue-select,Subaru-outback,Toyota-tacoma,Volkswagen-cc,LABEL,PATH
0.167027547955513,0.017825588583946228,6.313382527878275e-08,0.2847069501876831,0.4828796684741974,5.309386210683442e-07,4.501191520206449e-12,6.943061034957176e-13,0.0038665845058858395,0.0035338811576366425,0.002811213955283165,0.00030929959029890597,6.613119296616787e-08,0.01698930189013481,0.000797260319814086,1.6963456681007294e-11,3.817078777501592e-06,0.01922897808253765,1.4575205931066648e-08,1.9285504095023498e-05,BMW-1-series,mini_pictures\test\BMW-1-series\BMW-1-series_bf9932f7aca8_04.jpg
0.020723026245832443,0.758628249168396,4.504620847001206e-06,9.585971565684304e-05,0.20187772810459137,5.758943188993726e-06,2.7591468064296076e-14,1.50461943196799e-16,1.7171913668789784e-06,3.813632076798967e-09,9.452716767555103e-06,0.00017431275045964867,1.4589660035646546e-10,7.337356322523192e-08,2.9464268664014526e-05,2.468551486270107e-14,1.4763264744033222e-07,3.2083498808788136e-06,3.472362952727792e-10,0.01844640076160431,BMW-4-series,mini_pictures\test\BMW-4-series\BMW-4-series_7e097d195756_07.jpg
1.5922411833457772e-08,4.0082841223920695e-06,0.11499065160751343,2.822025391147065e-10,1.3750507676935086e-11,0.06213252246379852,0.00015251603326760232,8.987291977291534e-08,1.5581844081680174e-07,0.00013899833720643073,2.4284083792736055e-06,1.2712250736512942e-06,0.00026225222973152995,0.8221850991249084,6.970655302973583e-11,6.244702603908081e-07,1.2849306585849263e-05,0.00011506345617817715,1.5063338878462673e-06,1.0441618923662244e-11,BMW-x3,mini_pictures\test\BMW-x3\BMW-x3_3d7a1030deeb_07.jpg
3.397169393792865e-06,4.9435995606472716e-05,0.7461432218551636,3.233645989864087e-11,2.2265256305331604e-09,0.23201672732830048,2.082703076666803e-06,6.983716271946605e-09,1.8878113223763648e-06,0.0036611384712159634,2.5694662326714024e-06,0.0016758700367063284,0.0010437846649438143,0.001549542066641152,1.0732371265476104e-05,7.543276558941159e-10,0.013779189437627792,6.0399277572287247e-05,2.946662913672071e-10,6.122732099100858e-09,BMW-x3,mini_pictures\test\BMW-x3\BMW-x3_3d7a1030deeb_13.jpg
1.7267804963694289e-09,1.1558469736883126e-07,1.794051240722183e-05,7.891842869867105e-06,1.554306408024786e-07,6.153020513011143e-05,0.47076547145843506,2.692129044135072e-07,0.00010921264038188383,0.0011945717269554734,5.531492206500843e-07,9.38280280138315e-08,0.00019728083861991763,2.860726908693323e-07,2.9538632650982777e-10,6.706616659357678e-06,0.00010310592188034207,0.5256010890007019,0.001933619729243219,2.6870184299809807e-08,Honda-pilot,mini_pictures\test\Honda-pilot\Honda-pilot_82d30a8001ee_01.jpg
1.0859721108480436e-11,1.4103017256621164e-14,0.0018774024210870266,3.721736252515484e-10,1.3161497447455872e-09,0.04298323765397072,0.16815315186977386,3.899778763805095e-11,7.25632503417728e-07,1.5225315337374923e-06,0.5338389873504639,9.08158995116537e-07,0.13737893104553223,0.003621877869591117,1.4526090943775137e-15,0.11208441108465195,2.2960826754570007e-05,7.980610803315358e-07,3.5140234103892e-05,4.699625237580829e-12,Honda-pilot,mini_pictures\test\Honda-pilot\Honda-pilot_ba0542f7cfce_03.jpg
1.0253262416881626e-06,2.9148292014724575e-05,7.401114544336451e-06,1.1473421182017773e-06,8.847484309626452e-07,5.138947472005384e-06,4.969450961844757e-10,5.492880973179126e-06,0.2174636721611023,0.5036527514457703,7.254669087686239e-10,0.01709909364581108,1.8366149490134376e-08,9.140912879956886e-07,0.26165929436683655,1.2739388761594478e-16,7.375766290351748e-05,2.661685130078695e-07,1.1385676401687306e-08,8.994240352500071e-10,MINI-clubman,mini_pictures\test\MINI-clubman\MINI-clubman_4f552e308808_01.jpg
1.4732023373653647e-05,2.7315834039143283e-09,4.466631509103536e-08,0.007362851873040199,3.344861454479542e-08,0.0002091078058583662,1.5304095768442494e-06,8.928524039220065e-06,0.09483429789543152,0.8057581782341003,0.00024650810519233346,1.331182346575588e-07,0.0007212254568003118,0.07816299796104431,2.7877460340164362e-08,4.392060048985513e-08,2.522050817788113e-05,0.01149244885891676,0.0011618058197200298,3.689118455163509e-10,MINI-clubman,mini_pictures\test\MINI-clubman\MINI-clubman_75a904cbe432_08.jpg
0.007074085995554924,0.00028270823531784117,0.5195069909095764,1.0781117225633352e-06,5.5992359193624e-06,9.067678547580726e-06,1.7421143638784997e-07,3.748078236665009e-11,0.00036311449366621673,6.311343895504251e-06,6.491124804597348e-05,0.46617141366004944,0.0064061773009598255,1.8020991774392314e-05,2.4914911023188324e-08,1.2347532718504084e-10,5.419551598606631e-05,5.844737188454019e-06,2.6693256494070283e-09,3.0481285648420453e-05,Mercedes-Benz-gla,mini_pictures\test\Mercedes-Benz-gla\Mercedes-Benz-gla_24f0c97836fd_01.jpg
9.432214574189857e-05,2.4896069206192806e-08,0.7007622718811035,6.529180973302573e-05,1.712750080651304e-10,0.008338862098753452,2.350070218426481e-07,6.355835996396664e-11,3.180328533858301e-08,2.636230647112825e-06,0.0002962184080388397,0.0028347584884613752,0.0001576657814439386,0.0007515998440794647,1.0099161090737496e-11,5.437453265422221e-10,9.949585364665836e-05,0.28655532002449036,6.499791652458953e-06,3.473940523690544e-05,Subaru-outback,mini_pictures\test\Subaru-outback\Subaru-outback_459c9990f7aa_09.jpg
2.330635506567441e-15,8.980698407157206e-10,6.544767529703677e-06,7.151380876369018e-11,2.9646045618392236e-07,3.3882173511301517e-07,0.004307966213673353,1.0291297813935785e-09,4.832506874663522e-07,8.10883364010806e-07,4.2565585317788646e-05,2.755444317159572e-09,5.43691057828255e-05,1.023984259518329e-05,5.5234916846499255e-15,0.5556880831718445,2.629847983826039e-07,3.5448479138722178e-06,0.4398844838142395,2.718428780690285e-12,Toyota-tacoma,mini_pictures\test\Toyota-tacoma\Toyota-tacoma_e4fc9edc5c7b_02.jpg
